 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Length
150,ddd-1.png:0443-0391,0.000,82,82,47.601,52.152,47.554,52.136,0.124,0.124,0.000,0.000,0.000,NaN,0
151,ddd-1.png:0443-0391,0.000,89,89,47.786,52.183,47.678,52.136,0.124,0.124,0.000,0.000,0.000,NaN,0
152,ddd-1.png:0443-0391,0.000,119,119,47.926,52.028,47.926,52.012,0.124,0.124,0.000,0.000,0.000,NaN,0
153,ddd-1.png:0443-0391,0.000,105,105,48.065,52.105,48.050,52.012,0.124,0.124,0.000,0.000,0.000,NaN,0
154,ddd-1.png:0443-0391,0.000,117,117,48.065,51.966,48.050,51.889,0.124,0.124,0.000,0.000,0.000,NaN,0
155,ddd-1.png:0443-0391,0.000,120,120,48.003,51.780,47.926,51.765,0.124,0.124,0.000,0.000,0.000,NaN,0
156,ddd-1.png:0443-0391,0.000,120,120,48.003,51.780,47.926,51.765,0.124,0.124,0.000,0.000,0.000,NaN,0
157,ddd-1.png:0443-0391,0.000,104,104,47.972,51.672,47.926,51.641,0.124,0.124,0.000,0.000,0.000,NaN,0
158,ddd-1.png:0443-0391,0.000,88,88,47.972,51.486,47.926,51.393,0.124,0.124,0.000,0.000,0.000,NaN,0
159,ddd-1.png:0443-0391,0.000,86,86,47.926,51.347,47.926,51.269,0.124,0.124,0.000,0.000,0.000,NaN,0
160,ddd-1.png:0443-0391,0.000,96,96,47.988,51.084,47.926,51.022,0.124,0.124,0.000,0.000,0.000,NaN,0
161,ddd-1.png:0443-0391,0.000,101,101,48.019,50.944,47.926,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
162,ddd-1.png:0443-0391,0.000,94,94,48.266,51.006,48.173,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
163,ddd-1.png:0443-0391,0.000,100,100,48.452,51.006,48.421,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
164,ddd-1.png:0443-0391,0.000,100,100,48.452,51.006,48.421,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
165,ddd-1.png:0443-0391,0.000,106,106,48.622,51.006,48.545,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
166,ddd-1.png:0443-0391,0.000,106,106,48.762,51.006,48.669,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
167,ddd-1.png:0443-0391,0.000,105,105,48.994,50.975,48.916,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
168,ddd-1.png:0443-0391,0.000,98,98,49.149,50.960,49.040,50.898,0.124,0.124,0.000,0.000,0.000,NaN,0
169,ddd-1.png:0443-0391,0.000,118,118,49.257,50.882,49.164,50.774,0.124,0.124,0.000,0.000,0.000,NaN,0
170,ddd-1.png:0443-0391,0.000,96,96,49.474,50.805,49.412,50.774,0.124,0.124,0.000,0.000,0.000,NaN,0
171,ddd-1.png:0443-0391,0.000,96,96,49.474,50.805,49.412,50.774,0.124,0.124,0.000,0.000,0.000,NaN,0
172,ddd-1.png:0443-0391,0.000,91,91,49.551,50.697,49.536,50.650,0.124,0.124,0.000,0.000,0.000,NaN,0
173,ddd-1.png:0443-0391,0.000,97,97,49.551,50.573,49.536,50.526,0.124,0.124,0.000,0.000,0.000,NaN,0
174,ddd-1.png:0443-0391,0.000,88,88,49.551,50.464,49.536,50.402,0.124,0.124,0.000,0.000,0.000,NaN,0
175,ddd-1.png:0443-0391,0.000,87,87,49.458,50.279,49.412,50.279,0.124,0.124,0.000,0.000,0.000,NaN,0
176,ddd-1.png:0443-0391,0.000,84,84,49.443,50.186,49.412,50.155,0.124,0.124,0.000,0.000,0.000,NaN,0
177,ddd-1.png:0443-0391,0.000,84,84,49.443,50.186,49.412,50.155,0.124,0.124,0.000,0.000,0.000,NaN,0
178,ddd-1.png:0443-0391,0.000,88,88,49.412,50.000,49.412,49.907,0.124,0.124,0.000,0.000,0.000,NaN,0
179,ddd-1.png:0443-0391,0.000,88,88,49.427,49.861,49.412,49.783,0.124,0.124,0.000,0.000,0.000,NaN,0
180,ddd-1.png:0443-0391,0.000,90,90,49.458,49.721,49.412,49.659,0.124,0.124,0.000,0.000,0.000,NaN,0
181,ddd-1.png:0443-0391,0.000,95,95,49.520,49.644,49.412,49.536,0.124,0.124,0.000,0.000,0.000,NaN,0
182,ddd-1.png:0443-0391,0.000,83,83,49.690,49.628,49.659,49.536,0.124,0.124,0.000,0.000,0.000,NaN,0
183,ddd-1.png:0443-0391,0.000,79,79,49.876,49.628,49.783,49.536,0.124,0.124,0.000,0.000,0.000,NaN,0
184,ddd-1.png:0443-0391,0.000,79,79,49.876,49.628,49.783,49.536,0.124,0.124,0.000,0.000,0.000,NaN,0
185,ddd-1.png:0443-0391,0.000,84,84,49.969,49.644,49.907,49.536,0.124,0.124,0.000,0.000,0.000,NaN,0
186,ddd-1.png:0443-0391,0.000,74,74,50.077,49.690,50.031,49.659,0.124,0.124,0.000,0.000,0.000,NaN,0
187,ddd-1.png:0443-0391,0.000,81,81,50.170,49.737,50.155,49.659,0.124,0.124,0.000,0.000,0.000,NaN,0
